Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,US-2022-106811,07/16/2022,07/21/2022,Standard Class,CG-48024,Home Office,South,Florida,Furniture,Tables,974.72,7,0.2,-162.7
2,US-2022-105080,04-09-2022,04/13/2022,Standard Class,CG-26653,Corporate,EAST,Massachusetts,Technology,Machines,2939.53,7,0.4,850.12
3,US-2022-101462,01/26/2022,01/30/2022,Standard Class,CG-25738,Corporate,Central,Texas,Office Supplies,Art,73.43,1,0.15,23.93
4,US-2023-109717,09-09-2023,09-12-2023,Standard Class,CG-43950,Consumer,West,Arizona,Furniture,Chairs,2065.66,3,0,137.92
5,US-2024-106008,08/28/2024,08/29/2024,First Class,CG-48689,Corporate,South,Alabama,Furniture,Bookcases,149.3,1,0.2,21.34
6,US-2024-106466,07-03-2024,07-04-2024,First Class,CG-28951,Consumer,South,Tennessee,Furniture,Bookcases,700.15,3,0,162.24
7,US-2022-106312,01-06-2022,01-12-2022,Same Day,CG-33709,Corporate,South,Florida,Office Supplies,Art,64.94,2,0.3,21.27
8,US-2021-102371,03/27/2021,03/31/2021,Second Class,CG-79586,Home Office,South,Georgia,Office Supplies,Binders,,6,0,-78.21
9,US-2022-107087,06/14/2022,06/17/2022,Standard Class,CG-84724,Corporate,South,Georgia,Technology,Machines,2165.75,2,0.15,308.45
10,US-2024-100448,02/20/2024,02/25/2024,Second Class,CG-96413,Consumer,South,North Carolina,Office Supplies,Labels,560.6,6,0.3,-111.63
11,US-2021-109264,09/22/2021,09/26/2021,Second Class,CG-98482,Home Office,Central,Michigan,Technology,Machines,2016.77,2,0.5,-379.05
12,US-2024-106770,12/21/2024,12/23/2024,Same Day,CG-51370,Home Office,West,Nevada,Furniture,Tables,3761.33,5,0.1,204.34
13,US-2021-109454,08/14/2021,08/15/2021,Second Class,CG-26036,Consumer,CENTRAL,Ohio,Technology,Phones,302.22,2,0.5,1.56
14,US-2021-102613,05-11-2021,05/14/2021,First Class,CG-35025,Home Office,South,Tennessee,Technology,Accessories,1906.77,2,0.1,48.61
15,US-2023-102251,03/19/2023,03/21/2023,Second Class,CG-26049,Consumer,South,Georgia,Furniture,Chairs,2664.88,6,0.5,258.33
16,US-2021-102278,09/23/2021,09/27/2021,First Class,CG-39919,Corporate,Central,Illinois,Technology,Accessories,411.29,1,0,14.56
17,US-2022-107382,04-09-2022,04/15/2022,Second Class,CG-38143,Consumer,Central,Illinois,Technology,Machines,687.86,1,0.5,-27.78
18,US-2022-107481,04/25/2022,04/29/2022,Same Day,CG-96836,Home Office,West,Washington,Office Supplies,Labels,55.97,2,0,16.88
19,US-2022-106921,06/21/2022,06/26/2022,Same Day,CG-67517,Home Office,East,New York,Technology,Machines,3116.63,4,0.3,-234.8
20,US-2023-104478,02/27/2023,03-03-2023,Standard Class,CG-46310,Consumer,West,California,Furniture,Bookcases,3125.33,7,0.4,-385.75
21,US-2023-106203,02/25/2023,03-01-2023,Same Day,CG-35717,Home Office,West,California,Office Supplies,Binders,156.37,3,0.4,41.01
22,US-2021-108503,06-12-2021,06/16/2021,Same Day,CG-70665,Consumer,South,Florida,Technology,Phones,2721.83,3,0.3,146.66
23,US-2022-102804,01-05-2022,01-10-2022,First Class,CG-73069,Home Office,West,Nevada,Office Supplies,Storage,94.8,1,0.2,1.4
24,US-2022-109804,12/25/2022,12/28/2022,Standard Class,CG-18520,Consumer,East,Virginia,Office Supplies,Labels,96.56,3,0.1,-12.53
25,US-2024-101509,02-02-2024,02-07-2024,Standard Class,CG-66060,Home Office,Central,Missouri,Technology,Copiers,681.33,4,0.15,183.93
26,US-2023-102718,12/20/2023,12/23/2023,First Class,CG-44018,Corporate,East,New York,Technology,Phones,5228.43,5,0.15,-353.1
27,US-2023-106600,08-04-2023,08-07-2023,First Class,CG-58488,Consumer,South,North Carolina,Technology,Phones,521.02,1,0.5,5.53
28,US-2024-106610,05/28/2024,06-02-2024,Same Day,CG-96132,Home Office,South,Florida,Furniture,Chairs,1864.07,3,0.5,326.99
29,US-2024-102861,08/22/2024,08/29/2024,First Class,CG-51946,Home Office,West,Arizona,Furniture,Chairs,2908.64,8,0.4,-3.57
30,US-2023-107470,08/30/2023,08/31/2023,Standard Class,CG-82386,Corporate,East,Virginia,Furniture,Bookcases,1057.42,2,0.4,360.91
31,US-2022-109324,04-11-2022,04/14/2022,Same Day,CG-14588,Home Office,Central,Ohio,Office Supplies,Storage,138.92,8,0,3.14
32,US-2022-102535,08/27/2022,09-03-2022,Standard Class,CG-14916,Home Office,South,Georgia,Technology,Phones,3780.15,4,0.5,-43.26
33,US-2024-105894,01-10-2024,01/14/2024,Standard Class,CG-46232,Corporate,West,Arizona,Furniture,Chairs,1682.25,7,0,102.33
34,US-2024-104504,10/17/2024,10/19/2024,First Class,CG-12632,Consumer,South,Georgia,Furniture,Chairs,2737.14,7,0.4,-582.38
35,US-2022-106526,08/26/2022,09-01-2022,Same Day,CG-68711,Consumer,South,Georgia,Technology,Phones,92.49,3,0.5,-7.55
36,US-2023-105466,10-09-2023,10/14/2023,Second Class,CG-33410,Corporate,East,New York,Technology,Phones,3754.79,6,0,-677.7
37,US-2021-104253,09-10-2021,09-11-2021,Same Day,CG-32157,Corporate,West,Washington,Office Supplies,Binders,91.42,5,0.15,30.29
38,US-2023-108756,02-11-2023,02/15/2023,Second Class,CG-34193,Home Office,East,Pennsylvania,Furniture,Bookcases,635.53,2,0,-45.14
39,US-2024-107228,04-05-2024,04-12-2024,Standard Class,CG-66590,Consumer,South,Tennessee,Office Supplies,Storage,112.25,1,0.4,3.03
40,US-2024-104866,03-09-2024,03-11-2024,Same Day,CG-39953,Consumer,South,Tennessee,Office Supplies,Paper,306.22,7,0,-3.2
41,US-2022-107478,05-03-2022,05-06-2022,Same Day,CG-62413,Home Office,Central,Ohio,Technology,Phones,788.68,1,0,-34.52
42,US-2022-108176,09/25/2022,09/28/2022,Same Day,CG-30244,Corporate,East,New Jersey,Office Supplies,Labels,210.84,3,0,48.69
43,US-2023-100247,11/16/2023,11/20/2023,Same Day,CG-11617,Corporate,East,New York,Furniture,Bookcases,441.43,2,0.2,73.64
