Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Month Name,Order Year-Month,Shipping Days,Profit Margin %
1,US-2021-106535,2021-01-01,2021-01-08,Second Class,CG-58892,Consumer,Central,Missouri,Technology,Machines,7345.37,8,0.0,2009.97,2021,1,Jan,2021-01,7,27.36
2,US-2021-107686,2021-01-01,2021-01-02,Standard Class,CG-72180,Consumer,Central,Michigan,Office Supplies,Binders,964.68,8,0.5,-177.88,2021,1,Jan,2021-01,1,-18.44
3,US-2021-101096,2021-01-01,2021-01-03,Same Day,CG-13231,Home Office,East,Virginia,Furniture,Tables,2834.1,4,0.0,-625.72,2021,1,Jan,2021-01,2,-22.08
4,US-2021-100581,2021-01-01,2021-01-08,Same Day,CG-35646,Consumer,West,Washington,Office Supplies,Labels,652.24,5,0.3,-162.45,2021,1,Jan,2021-01,7,-24.91
5,US-2021-100483,2021-01-01,2021-01-06,Same Day,CG-49270,Consumer,West,Oregon,Office Supplies,Art,80.36,1,0.4,18.72,2021,1,Jan,2021-01,5,23.3
6,US-2021-101461,2021-01-01,2021-01-04,First Class,CG-38220,Home Office,South,Tennessee,Technology,Machines,554.93,2,0.0,106.34,2021,1,Jan,2021-01,3,19.16
7,US-2021-108608,2021-01-01,2021-01-08,Second Class,CG-49746,Corporate,East,Virginia,Furniture,Tables,5732.96,8,0.0,1361.32,2021,1,Jan,2021-01,7,23.75
8,US-2021-101476,2021-01-02,2021-01-09,Same Day,CG-49696,Consumer,East,Massachusetts,Furniture,Chairs,603.14,5,0.1,130.76,2021,1,Jan,2021-01,7,21.68
9,US-2021-102041,2021-01-02,2021-01-03,Same Day,CG-42053,Corporate,South,Georgia,Technology,Copiers,619.85,8,0.5,100.0,2021,1,Jan,2021-01,1,16.13
10,US-2021-103304,2021-01-02,2021-01-04,Second Class,CG-30015,Consumer,Central,Illinois,Office Supplies,Paper,731.14,8,0.3,-24.69,2021,1,Jan,2021-01,2,-3.38
11,US-2021-108726,2021-01-02,2021-01-05,First Class,CG-25445,Home Office,West,Nevada,Technology,Phones,2934.97,3,0.0,-447.9,2021,1,Jan,2021-01,3,-15.26
12,US-2021-107976,2021-01-03,2021-01-04,Standard Class,CG-70790,Home Office,West,Oregon,Technology,Machines,8513.92,8,0.2,227.83,2021,1,Jan,2021-01,1,2.68
13,US-2021-103087,2021-01-03,2021-01-06,Standard Class,CG-67133,Corporate,Central,Ohio,Office Supplies,Binders,27.96,1,0.3,7.35,2021,1,Jan,2021-01,3,26.29
14,US-2021-105513,2021-01-03,2021-01-05,First Class,CG-91669,Consumer,South,Tennessee,Furniture,Furnishings,766.53,2,0.15,-95.0,2021,1,Jan,2021-01,2,-12.39
15,US-2021-106004,2021-01-03,2021-01-09,Same Day,CG-42298,Consumer,West,Washington,Furniture,Furnishings,374.88,2,0.0,-50.54,2021,1,Jan,2021-01,6,-13.48
16,US-2021-103145,2021-01-03,2021-01-06,Same Day,CG-62142,Home Office,West,Nevada,Furniture,Furnishings,612.35,1,0.2,149.08,2021,1,Jan,2021-01,3,24.35
17,US-2021-108581,2021-01-03,2021-01-05,Second Class,CG-95691,Consumer,Central,Missouri,Furniture,Chairs,743.8,2,0.1,164.2,2021,1,Jan,2021-01,2,22.08
18,US-2021-108247,2021-01-03,2021-01-09,First Class,CG-87167,Corporate,East,Pennsylvania,Furniture,Furnishings,177.71,1,0.15,39.74,2021,1,Jan,2021-01,6,22.36
19,US-2021-105889,2021-01-04,2021-01-05,First Class,CG-51023,Home Office,West,Washington,Office Supplies,Binders,289.66,8,0.0,-7.56,2021,1,Jan,2021-01,1,-2.61
20,US-2021-101230,2021-01-04,2021-01-09,Second Class,CG-15799,Consumer,South,Florida,Technology,Machines,1924.54,3,0.4,536.06,2021,1,Jan,2021-01,5,27.85
21,US-2021-100891,2021-01-04,2021-01-05,Second Class,CG-33121,Corporate,East,Massachusetts,Technology,Copiers,3193.72,5,0.3,480.1,2021,1,Jan,2021-01,1,15.03
22,US-2021-104975,2021-01-04,2021-01-05,Standard Class,CG-65019,Corporate,East,Pennsylvania,Technology,Machines,730.56,4,0.0,-155.37,2021,1,Jan,2021-01,1,-21.27
23,US-2021-103597,2021-01-04,2021-01-05,First Class,CG-58023,Corporate,East,New Jersey,Furniture,Tables,629.55,2,0.1,157.49,2021,1,Jan,2021-01,1,25.02
24,US-2021-102050,2021-01-04,2021-01-07,Same Day,CG-62180,Home Office,West,Nevada,Technology,Machines,1126.23,1,0.0,-26.63,2021,1,Jan,2021-01,3,-2.36
25,US-2021-108088,2021-01-04,2021-01-11,Standard Class,CG-99124,Consumer,Central,Michigan,Furniture,Tables,4759.84,8,0.1,498.31,2021,1,Jan,2021-01,7,10.47
26,US-2021-104935,2021-01-04,2021-01-08,Standard Class,CG-37463,Consumer,East,Massachusetts,Office Supplies,Art,389.12,7,0.1,8.57,2021,1,Jan,2021-01,4,2.2
27,US-2021-105484,2021-01-05,2021-01-08,First Class,CG-72809,Home Office,East,Virginia,Office Supplies,Binders,29.52,2,0.1,7.63,2021,1,Jan,2021-01,3,25.85
28,US-2021-103482,2021-01-05,2021-01-06,Same Day,CG-44227,Home Office,Central,Ohio,Furniture,Tables,4149.85,7,0.4,1189.08,2021,1,Jan,2021-01,1,28.65
29,US-2021-102577,2021-01-05,2021-01-06,Same Day,CG-29165,Consumer,East,Pennsylvania,Technology,Accessories,8206.82,7,0.0,-666.75,2021,1,Jan,2021-01,1,-8.12
30,US-2021-107190,2021-01-05,2021-01-07,Same Day,CG-44097,Consumer,East,Massachusetts,Technology,Machines,8704.32,8,0.0,1956.77,2021,1,Jan,2021-01,2,22.48
31,US-2021-107575,2021-01-05,2021-01-07,Standard Class,CG-21575,Corporate,East,New Jersey,Technology,Phones,1395.65,5,0.1,-85.36,2021,1,Jan,2021-01,2,-6.12
32,US-2021-101574,2021-01-05,2021-01-09,First Class,CG-88675,Home Office,East,New York,Office Supplies,Labels,100.25,7,0.0,-6.33,2021,1,Jan,2021-01,4,-6.31
33,US-2021-103815,2021-01-05,2021-01-07,Standard Class,CG-34542,Corporate,West,California,Office Supplies,Binders,119.54,1,0.15,3.54,2021,1,Jan,2021-01,2,2.96
34,US-2021-104237,2021-01-05,2021-01-12,Second Class,CG-70357,Home Office,West,Arizona,Office Supplies,Art,97.65,2,0.3,-19.54,2021,1,Jan,2021-01,7,-20.01
35,US-2021-101872,2021-01-06,2021-01-13,Standard Class,CG-18305,Home Office,West,Washington,Office Supplies,Art,121.51,1,0.0,-1.41,2021,1,Jan,2021-01,7,-1.16
